GENEID	log2BaseMean	log2Ratio	Stderr_log2Ratio	pvalue	padjust
FBgn0034365	8.01522679535186	2.41654224328326	0.28142893166079	8.95128043727102e-18	6.34815131551328e-16
FBgn0034915	11.4281955026644	0.550375880491222	0.064124743492577	9.25155465845322e-18	6.51706830168624e-16
FBgn0017448	6.96775083028886	10.424846529315	1.21673699954356	1.05415131214836e-17	7.37624811487282e-16
FBgn0033033	11.7916736736835	1.68712809127587	0.198677014940752	2.03437879441513e-17	1.41409535272723e-15
FBgn0043458	11.2265893951666	0.576924075546597	0.0679547084864405	2.0693558361001e-17	1.42894466155965e-15
FBgn0037414	9.24343981419652	8.66171342858255	1.02045939888557	2.10127800916779e-17	1.4415041819755e-15
FBgn0051864	8.54021818846667	1.27174031450496	0.150145209316106	2.45247274023969e-17	1.67150349880232e-15
FBgn0052645	6.31772626646414	2.84629610349021	0.336285732181358	2.58533446765129e-17	1.75068842403019e-15
FBgn0267936	6.2623467963776	4.47715712825373	0.52997056092312	2.96499040208574e-17	1.99490636283923e-15
FBgn0040528	8.02322438706854	1.36897421592253	0.162259628769557	3.25762788857745e-17	2.17783836423624e-15
FBgn0010497	9.2461217339428	-0.908231648518061	0.107673075296752	3.30959389524818e-17	2.19857579269145e-15
FBgn0033205	8.97742562879193	1.50376962504743	0.17866875135472	3.87823455043217e-17	2.55726314035449e-15
FBgn0263745	6.64196333624727	2.71597011615563	0.322733822229181	3.91185007769575e-17	2.55726314035449e-15
FBgn0030246	10.8527046320996	0.563651982903032	0.0669803145488307	3.92263115088674e-17	2.55726314035449e-15
FBgn0265598	10.0704688298224	-0.82282785833341	0.0978073031663569	4.0052655758113e-17	2.59501651134046e-15
FBgn0030208	13.1855682026701	-0.383215950903902	0.0456787918102728	4.88784669389073e-17	3.14741342939123e-15
FBgn0263442	7.04484727206576	3.42490679583003	0.408594713425113	5.19645533793781e-17	3.3257314162802e-15
FBgn0000326	8.49179309202906	1.15864746328388	0.138936381062119	7.46620358708686e-17	4.74941047576143e-15
FBgn0032022	6.19115800493231	3.07578842832277	0.371015051866284	1.13059623355071e-16	7.14863738996885e-15
FBgn0050428	8.65859433441089	-1.14079019911484	0.137668855824994	1.16649451134507e-16	7.33145292878914e-15
FBgn0033397	7.08770486519783	6.07689223396447	0.733737719052613	1.21017643283742e-16	7.56072133277473e-15
FBgn0083990	6.44364389565325	7.45038679273674	0.900352317840018	1.28489913958565e-16	7.98005998171066e-15
FBgn0032377	7.2627362647152	2.98755806009464	0.363051769529999	1.88760867243355e-16	1.16543180152132e-14
FBgn0027620	11.1326137396518	0.873470578189169	0.106494707932356	2.36402127628392e-16	1.45076115547293e-14
FBgn0020307	10.9572159819117	-2.55905021364918	0.31202862996597	2.37739061300822e-16	1.45076115547293e-14
FBgn0013812	6.87352617975257	-2.69339280862406	0.328897233915599	2.63050748191673e-16	1.59594257399988e-14
FBgn0033362	7.51166986613339	2.26045846364725	0.27614831629911	2.70797100861436e-16	1.63349791416186e-14
FBgn0041087	9.11751398734553	3.09139410849459	0.378362702348549	3.07237445750229e-16	1.84272241748251e-14
FBgn0266634	6.63917635559411	-2.20628869228505	0.271407505103802	4.32621641990726e-16	2.57999815587196e-14
FBgn0015774	10.442917583665	-0.677385786428145	0.0833557430970827	4.42067241304877e-16	2.62143376538756e-14
FBgn0039827	8.20950833717889	-2.10649984069678	0.259440795854196	4.68549927109626e-16	2.76286518817002e-14
FBgn0015040	8.5859336311203	0.923419881686068	0.114195487125651	6.15005420677027e-16	3.6061993829196e-14
FBgn0030017	7.93431157189294	1.31949073679968	0.164574309564458	1.07832608262192e-15	6.2878392017776e-14
FBgn0004893	13.8137476194092	-0.429657551770029	0.053628547200597	1.13104057948236e-15	6.55878559240155e-14
FBgn0086365	9.63406789273305	-0.795725593995689	0.0998001447609699	1.54629192106867e-15	8.91751648545978e-14
FBgn0002573	6.67780215008534	-2.38664315422273	0.300362393464809	1.92818985565272e-15	1.10591697950442e-13
FBgn0001227	12.2084683406561	-1.20703923007476	0.152244788456326	2.22202824914024e-15	1.26752220124869e-13
FBgn0026319	9.49035156981862	1.15749595206243	0.146071951491987	2.29713492574391e-15	1.30328260435719e-13
FBgn0029859	5.48311007367961	4.09396097080457	0.51675548984177	2.32906780201136e-15	1.31429546504899e-13
FBgn0031622	7.35931300471049	9.85286323224403	1.25020473966403	3.24771975926064e-15	1.82289126166843e-13
FBgn0032228	7.10657924437879	2.49405493968862	0.317156784175271	3.72676575404687e-15	2.08064539119553e-13
FBgn0039415	8.05451345988523	2.87897123362018	0.366356050626697	3.89080938284116e-15	2.16073731652385e-13
FBgn0033226	9.65968115054181	0.763121438554353	0.0972643745489451	4.3003967382028e-15	2.3756296928514e-13
FBgn0260386	9.27165735945162	1.38808509486658	0.178311613098265	6.99325237882646e-15	3.84299355854254e-13
FBgn0029881	11.1408533821479	1.21777413064602	0.156820480934933	8.1386450173497e-15	4.44912594281784e-13
FBgn0052260	5.93979370726595	6.52149792187794	0.840784223658211	8.7342070563018e-15	4.74996047994527e-13
FBgn0030795	7.03730059779391	1.68292115111111	0.217130437382671	9.13599494720027e-15	4.94285582298011e-13
FBgn0026737	9.46138517890298	1.00392856662998	0.129693979303826	9.88326842343532e-15	5.31973258319883e-13
FBgn0036612	7.89884366860945	3.69190778537267	0.477881904358535	1.11358169678188e-14	5.96334361705233e-13
FBgn0038629	9.5771926303541	2.19290695315426	0.285036334465888	1.43242614906918e-14	7.631850183061e-13
FBgn0034756	6.77195872654933	-2.79913007673782	0.36488829171183	1.70398206986094e-14	9.03282616427295e-13
FBgn0035954	9.31620085871206	-1.04585597222409	0.136987469546499	2.26375867254944e-14	1.19399050387331e-12
FBgn0265422	8.12499348322393	-2.84286378969626	0.372633611294409	2.3637506428875e-14	1.24049633738736e-12
FBgn0262524	7.73481861330781	1.53108514431185	0.201069124586344	2.64263098788659e-14	1.37995297755511e-12
FBgn0030511	8.34664356929862	-0.972082980036003	0.127834471568282	2.86600706660231e-14	1.48918862232959e-12
FBgn0264950	7.83864064032488	1.26669367299516	0.167289364414038	3.67883544948765e-14	1.90212102846416e-12
FBgn0035308	8.88815770666261	-1.22490317907636	0.161823146810378	3.74968878442529e-14	1.92925164124156e-12
FBgn0263219	6.45803303664489	6.03609114846352	0.802469109211372	5.39865112342462e-14	2.76410937519341e-12
FBgn0000157	11.0325875472794	-1.37483608201627	0.182948160195957	5.69569432721792e-14	2.90203920672229e-12
FBgn0034462	10.575416799293	-1.75417840734332	0.233732186923926	6.13918072107354e-14	3.11289086224096e-12
FBgn0011817	11.7114520999914	-0.921234762093972	0.122902922461225	6.59809616625541e-14	3.32950083466427e-12
FBgn0267667	5.83758738712723	6.84040788498401	0.913103872104624	6.81532933943161e-14	3.42266491610881e-12
FBgn0260006	8.11317255170228	3.18975118305036	0.426971441802563	7.98039351869476e-14	3.98867668439144e-12
FBgn0264942	5.94836855803573	9.40502952038192	1.25998811978844	8.36930502563393e-14	4.16323343834378e-12
FBgn0039969	10.418398234463	0.758706029093967	0.101820224786685	9.23355881776694e-14	4.57148270524914e-12
FBgn0261799	8.06883193078852	2.07906595610145	0.280299943299464	1.19541046482894e-13	5.890623586312e-12
FBgn0087007	12.865974069343	-0.382950071571354	0.0518617324554316	1.53535817631099e-13	7.53042963484118e-12
FBgn0034182	8.32207589558261	1.04469294280353	0.141586488195786	1.60107928052807e-13	7.81624564112679e-12
FBgn0042712	10.9087666503224	0.424547687570809	0.0576732562781767	1.82185804488724e-13	8.85288057367431e-12
FBgn0000382	10.7157923772065	0.481072497125328	0.0653756715448462	1.85868586453471e-13	8.9902151309476e-12
FBgn0039852	11.3615561831565	0.477053965208479	0.0648695271461187	1.9228488975215e-13	9.25790001302096e-12
FBgn0029924	10.0562965025058	-1.54689392400269	0.210381716844114	1.94102528391666e-13	9.30274035615946e-12
FBgn0053087	13.2058355519905	-0.551079544972017	0.0750531283730148	2.09599820090331e-13	9.9998168712187e-12
FBgn0029761	7.3498204457703	1.5622572095601	0.213033231376512	2.24391348019792e-13	1.06570660127409e-11
FBgn0033927	6.89229003960709	6.88988326176274	0.94072690873398	2.40687864455054e-13	1.13795487627038e-11
FBgn0264442	12.8187561112087	0.539594662742884	0.0737627950260691	2.56866950035732e-13	1.20900246976459e-11
FBgn0025885	11.0463752556704	-1.20761817627295	0.165436755491395	2.88675887318514e-13	1.35265272914961e-11
FBgn0038632	9.63337846611743	-1.0979959932271	0.150593360577054	3.07362604283464e-13	1.43381239758188e-11
FBgn0287234	9.73133392422458	2.06152438769497	0.282898632929924	3.16583576304525e-13	1.47029257384615e-11
FBgn0027930	11.009006800336	-0.46992729061404	0.0646865748340797	3.73921365897101e-13	1.72893332883523e-11
FBgn0039387	5.32112343623848	4.1385913964393	0.570721951650759	4.12174818202834e-13	1.89745039116533e-11
FBgn0030189	8.67339005799362	2.31810032210007	0.320217424110825	4.51522539619553e-13	2.06951116849206e-11
FBgn0027550	5.54194489556712	4.37309038942395	0.604344815887456	4.61822327578578e-13	2.10751615228903e-11
FBgn0053970	9.60204834206611	-0.655506893117027	0.090732372256078	5.02505708139343e-13	2.28324671542448e-11
FBgn0031367	6.49534079702469	8.98758532562007	1.24950719359774	6.34275287491372e-13	2.86954888685752e-11
FBgn0263111	8.83956220254769	1.44672941535662	0.201390392479006	6.78465712109846e-13	3.05629876150427e-11
FBgn0029833	10.1194613139058	-0.585408129134902	0.0815631314457073	7.1069276572254e-13	3.18779114060845e-11
FBgn0034411	5.94150707754674	4.90941589046241	0.684442416981132	7.344204858662e-13	3.28020315729857e-11
FBgn0052259	5.63333125772283	9.0899574047807	1.26932718064071	7.9950154895064e-13	3.5557492617737e-11
FBgn0261113	13.9835056320079	0.715515738567323	0.0999471123591237	8.13011343981131e-13	3.60057682127677e-11
FBgn0259140	6.14365335083558	4.27500912081663	0.598447984504656	9.09884110664994e-13	4.01266538888226e-11
FBgn0003867	10.5031299958728	-0.471087135581953	0.0661556670374685	1.07233435362112e-12	4.70929764669759e-11
FBgn0039003	10.1000265127809	0.91713256728028	0.128914523785694	1.12507738627053e-12	4.92033843595645e-11
FBgn0003731	13.7814409586266	-0.392089204735049	0.0552404304029383	1.26697405772264e-12	5.51790859330157e-11
FBgn0040279	9.07521711828405	1.125050594652	0.15852299788492	1.27419164339657e-12	5.52641135912825e-11
FBgn0033667	7.09857214957354	3.82240705406501	0.538742211794443	1.29297570408559e-12	5.58480369962238e-11
FBgn0038547	7.70767511680334	1.19101189974764	0.168058337250684	1.37153715244126e-12	5.8998581770588e-11
FBgn0001186	11.0630759943533	-0.442077450449293	0.0624363104160218	1.43682512117962e-12	6.15547611098011e-11
FBgn0264448	5.59674639633713	3.84880809293713	0.543912573651197	1.48212200100337e-12	6.32372053761438e-11
FBgn0286782	6.35881434538852	2.49683133259051	0.35379891247733	1.69885331151422e-12	7.21909488164101e-11
FBgn0283442	6.24377117572125	6.23674011936187	0.88409825385626	1.73407138861263e-12	7.33903761890248e-11
FBgn0262955	12.6826443449992	0.341043388057806	0.0483530246638241	1.7485355092145e-12	7.37053361635156e-11
FBgn0011746	10.1394495073638	-1.99304689153812	0.283288444772005	1.98693357353615e-12	8.34194191513417e-11
FBgn0260026	6.22990931644265	1.97991341072795	0.282039356080214	2.21884399134952e-12	9.27848069051976e-11
FBgn0014469	9.87121062081861	-1.33818320790995	0.191048493790373	2.48017416908045e-12	1.03301222534398e-10
