WD_NOnub_Rep1	WD_NOnub_Rep2	WD_NOnub_Rep3	WD_SUMOnub_Rep1	WD_SUMOnub_Rep2	WD_SUMOnub_Rep3
FBgn0024998	693.969821174069	710.72187361923	693.017970243081	724.64646201577	745.399724874821	758.869905730253
FBgn0024995	0	0	17.9486668552165	2.94971422801535	4.0510854612762	5.10679613546604
FBgn0024994	996.520692851397	933.005257961047	899.42763907807	984.22131408112	1106.95910229372	1023.40194554739
FBgn0024992	1083.39173521419	1184.53645603205	1196.57779034777	1330.32111683492	1292.29626214711	1244.01553859953
FBgn0000092	18.9718368378523	12.6740526159808	9.97148158623138	46.2121895722404	27.3448268636143	52.0893205817536
FBgn0025838	0.998517728308013	1.94985424861243	0	3.93295230402046	1.01277136531905	2.04271845418641
FBgn0004647	27560.0878190295	27891.6900992765	28461.5998915802	26384.2105315213	22740.7682368739	22004.1631884961
FBgn0040396	1009.5014233194	1014.89913640277	1061.96278893364	717.763795483734	705.901641627378	728.229128917457
FBgn0000479	428.364105444138	487.463562153107	626.209043615331	505.384371066629	580.317992327816	650.605827658373
FBgn0003374	58.9125459701728	24.3731781076554	18682.5678999631	60.9607607123171	3.03831409595715	15.3203884063981
FBgn0029662	1415.89813874076	1363.92304690439	1506.69086767956	1085.49483590965	1414.84159735071	1327.76699522117
FBgn0029661	0	0	0.997148158623138	0.983238076005115	4.0510854612762	4.08543690837283
FBgn0029659	1.99703545661603	3.89970849722486	1.99429631724628	2.94971422801535	1.01277136531905	1.02135922709321
FBgn0029657	8.98665955477212	4.87463562153107	3.98859263449255	6.88266653203581	14.1787991144667	7.14951458965245
FBgn0003086	0	0	127.634964303762	0.983238076005115	0	1.02135922709321
FBgn0010295	0	0	15.9543705379702	9.83238076005115	0	1.02135922709321
FBgn0040393	0	0	8.97433342760824	2.94971422801535	0	5.10679613546604
FBgn0000644	97.8547373741853	77.9941699444972	63.8174821518808	53.0948561042762	51.6513396312715	55.1533982630332
FBgn0028746	85.8725246344891	94.5679310577028	111.680593765791	97.3405695245064	86.0855660521192	104.178641163507
FBgn0052793	4.99258864154007	4.87463562153107	10.9686297448545	3.93295230402046	1.01277136531905	1.02135922709321
FBgn0029648	332.506403526568	361.697963117606	326.067447869766	480.803419166501	428.402287529958	443.269904558452
FBgn0028369	410.390786334593	402.644902338467	351.993299993968	282.189327813468	354.469977861667	344.198059530411
FBgn0003285	1644.5586985233	1599.8554109865	1765.94938892158	1444.37673365151	1739.94120561813	1656.64466634518
FBgn0025644	1.99703545661603	5.84956274583729	0.997148158623138	0.983238076005115	2.0255427306381	2.04271845418641
FBgn0040353	3.99407091323205	2.92478137291864	0	4.91619038002558	4.0510854612762	7.14951458965245
FBgn0029664	396.411538138281	403.619829462773	382.904892911285	334.300945841739	343.329492843158	365.646603299368
FBgn0029666	2776.87780242458	2708.34755132266	2833.89506680696	2119.86129186703	2335.45076842573	2466.5825334301
FBgn0052792	0.998517728308013	1.94985424861243	2.99144447586941	3.93295230402046	6.0766281919143	7.14951458965245
FBgn0023215	2008.01915162741	1481.88922894545	1503.69942320369	1173.98626275011	1286.21963395519	1356.36505357978
